IdVenda,DataMovimentacao,NomeLocal,IdMercadoria,NomeMercadoria,Grupo,Receita,Custo,Qtde.
19116275,10/1/2024,LOJA A,9110,Produto 189,Grupo 16,"R$ 2,33","R$ 1,80",1
19116275,10/1/2024,LOJA A,9622,Produto 190,Grupo 16,"R$ 1,83","R$ 1,41",1
19116314,10/1/2024,LOJA A,298,Produto 109,Grupo 4,"R$ 6,17","R$ 5,82",2
19116314,10/1/2024,LOJA A,3191,Produto 192,Grupo 4,"R$ 6,17","R$ 5,82",2
19116517,10/1/2024,LOJA B,9248,Produto 193,Grupo 17,"R$ 18,33","R$ 15,00",1
19116683,10/1/2024,LOJA A,3268,Produto 16,Grupo 4,"R$ 4,00","R$ 3,55",1
19116683,10/1/2024,LOJA A,4548,Produto 22,Grupo 4,"R$ 6,50","R$ 6,14",2
19116769,10/1/2024,LOJA B,1517,Produto 91,Grupo 10,"R$ 2,17","R$ 1,26",1
19116855,10/1/2024,LOJA A,6287,Produto 160,Grupo 10,"R$ 1,50","R$ 0,74",1
19116855,10/1/2024,LOJA A,74,Produto 198,Grupo 4,"R$ 20,83","R$ 19,31",3
19116966,10/1/2024,LOJA B,3117,Produto 128,Grupo 4,"R$ 12,50","R$ 11,81",3
19116981,10/1/2024,LOJA B,113,Produto 27,Grupo 4,"R$ 2,67","R$ 2,52",1
19116993,10/1/2024,LOJA A,3268,Produto 16,Grupo 4,"R$ 8,00","R$ 7,11",2
19116993,10/1/2024,LOJA A,2184,Produto 5,Grupo 4,"R$ 1,67","R$ 1,00",1
19116993,10/1/2024,LOJA A,1734,Produto 203,Grupo 4,"R$ 3,66","R$ 1,93",1
19117011,10/1/2024,LOJA A,138,Produto 42,Grupo 3,"R$ 6,66","R$ 3,47",2
19117040,10/1/2024,LOJA A,1637,Produto 60,Grupo 4,"R$ 2,17","R$ 1,77",1
19117065,10/1/2024,LOJA B,88,Produto 166,Grupo 6,"R$ 4,83","R$ 3,27",1
19117065,10/1/2024,LOJA B,1686,Produto 207,Grupo 5,"R$ 3,33","R$ 2,00",1
19117141,10/1/2024,LOJA B,1655,Produto 208,Grupo 10,"R$ 1,17","R$ 0,66",1
19117141,10/1/2024,LOJA B,6287,Produto 160,Grupo 10,"R$ 1,50","R$ 0,73",1
19117141,10/1/2024,LOJA B,9907,Produto 210,Grupo 1,"R$ 9,99","R$ 4,72",2
19117141,10/1/2024,LOJA B,242,Produto 211,Grupo 18,"R$ 4,33","R$ 2,42",1
19117162,10/1/2024,LOJA B,3117,Produto 128,Grupo 4,"R$ 12,50","R$ 11,81",3
19117179,10/1/2024,LOJA A,107,Produto 186,Grupo 4,"R$ 6,67","R$ 6,30",2
19117289,10/1/2024,LOJA B,1748,Produto 214,Grupo 6,"R$ 4,83","R$ 3,16",1
19117423,10/1/2024,LOJA A,1884,Produto 78,Grupo 5,"R$ 3,67","R$ 2,54",2
19117423,10/1/2024,LOJA A,8480,Produto 126,Grupo 1,"R$ 1,67","R$ 0,63",1
19117423,10/1/2024,LOJA A,10211,Produto 217,Grupo 1,"R$ 5,33","R$ 3,00",1
19117446,10/1/2024,LOJA A,3117,Produto 128,Grupo 4,"R$ 20,83","R$ 19,68",3
19117446,10/1/2024,LOJA A,113,Produto 27,Grupo 4,"R$ 5,33","R$ 5,04",2
19117537,10/1/2024,LOJA A,1517,Produto 91,Grupo 10,"R$ 2,17","R$ 1,28",1
19117537,10/1/2024,LOJA A,6747,Produto 130,Grupo 4,"R$ 2,17","R$ 2,05",1
